64,O3Rb2Ti1,0
194,O2Si1,0
221,Ag1Mg1,1
148,Ba2O6Sr1Te1,0
221,Pb1Te1,0
229,Zr1,1
225,Pt7Sb1,1
166,B1,0
11,Na2O7Ti3,0
11,B1C1Cl3La3,1
194,Cl3Rb1Ti1,1
225,Ge1Li1Mg2,1
62,F6W1,0
139,Ca1P2Pd2,1
61,Ba2In2Se5,0
141,Al2Mg1,1
225,Ag2Cd1Mg1,1
225,Cl6Cs2K1Sc1,0
63,As3Nb4,1
129,As1Ca1Rb1,0
176,Ga1N3Sr3,0
62,Cs2Ge1Te4,0
221,Cs1F3Hg1,0
221,Al1C1Ti3,1
197,Al6O16S1Sr4,0
14,Al2Cl6O1Sn1,0
225,Cl6Rb2Se1,0
216,Po1Zn1,1
230,Al5O12Y3,0
167,B1K1S2,0
221,Zn1Zr1,1
31,B3Be2K1O7,0
19,Cl5N3S4Se1,0
139,Al1I2Pd5,1
85,Ag7Rb1S4,0
221,O3Sn1Sr1,0
148,Cl18Lu1Nb6,1
31,Cd1O4S1,0
96,Na2O3Zn2,0
225,Bi1K3,1
123,As3Rb1Zn4,1
187,Au4In6Rb1,1
15,Na2Nb4O11,0
71,Sn5Ti6,1
227,Cd1Se4Y2,0
62,Nb2P5,1
123,Br4K2Pt1,0
140,Re5Si3,1
191,N2Ta1,1
139,Hg2Mg1,1
166,Sb1Te2Tl1,1
150,Ba3Ga2Ge4O14,0
136,Ba1In2La2O7,0
221,B6Sr1,1
225,Pt1,1
216,B1Sb1,0
14,In1S1,1
131,I1Pd1Te1,1
221,N1Ta1,1
33,La1O3Y1,0
60,Nb2O6Zn1,0
36,Ge6Y4Zn5,0
141,Cd1In2O4,0
49,O5Ta2,0
189,In4Pt3Sr2,1
148,Ba2La1O6Sb1,0
189,Rb1Se1,0
123,Ca1F2,0
63,Cl1In1,0
229,K1,1
225,B12Sc1,1
80,Cs5N10Na1W4,0
166,As3Cd4K1,1
194,Cs3I9Mo2,1
33,N2Si1Zn1,0
74,P1,1
137,Cl2Zn1,0
140,Ge3Mo5,1
225,Al1Ti1Zr2,1
142,Na1Pb1,0
20,B3Ba3Br1O9Pb2,0
12,Mo2O12Y5,1
36,Bi2Nb2O9Pb1,0
129,Li1Rb1S1,0
154,Hg1S1,0
221,B6Ca1,1
74,Hg2Rb1,1
194,Cl9Mo2Rb3,0
5,F11I2Sb2,1
139,Ca1Si3,1
221,C1Ti3Tl1,1
140,Al3Zr5,1
59,Br1Lu1S1,0
216,Sc1Sn1,1
113,O3W1,0
62,Bi2S3,0
227,Si1,0
55,Ca9Sb9Zn4,1
7,C1Li4O4,0
139,Ca1O3Si1,0
225,Lu1Se1,1
221,Al1F3,0
186,Pt3Th7,1
164,Ba1Sn2,1
26,Br4Cs1Li3,0
12,K5Sb4,1
19,Cs2Ge3Te8Zn1,0
63,Al1Zr1,1
121,O2Si1,0
14,Ba2Br5Cs1,0
225,Cs2F6Rb1Y1,0
205,Br9In7,0
140,Hf1O3Sr1,0
5,Mo3Na2O16Te3,0
15,K4S14Ti3,0
194,Ba1Mg2,1
194,Hf2S1,1
12,As2Ta1,1
166,N2W1,1
166,In1Li1Se2,0
87,Nb5P4Pd4,1
