109,As1Ta1,1
109,P1Ta1,1
109,As1Nb1,1
109,Nb1P1,1
Unknown,Al1Mn1Ti2,1
Unknown,Mn3Sn1,1
Unknown,S4V3,1
Unknown,Ir1Ta1Te4,1
Unknown,Te2W1,1
Unknown,P2W1,1
Unknown,Mo1P2,1
Unknown,Co3S2Sn2,1
Unknown,Ir2O7Y2,1
Unknown,Cr2Hg1Se4,1
Unknown,Al1Ce1Ge1,1
Unknown,Fe3Sn2,1
Unknown,Nb2O7Sn2,1
Unknown,Co1Ga1Mn2,1
Unknown,Bi1Ga1,1
Unknown,Bi1In1,1
Unknown,Al1Ce1Si1,1
Unknown,S2Ta3,1
Unknown,Al1Ge1La1,1
Unknown,Al1La1Si1,1
Unknown,Al1Ce1Ge1,1
Unknown,Al1Ge1Pr1,1
Unknown,O5P1V2,1
Unknown,Al1Gd1Si1,1
Unknown,Gd1Si1,1
Unknown,Bi1Gd1Pt1,1
Unknown,Co2Ga1Mn1,1
Unknown,Al1Co2Mn1,1
Unknown,Co2Mn1Si1,1
Unknown,Co2Ge1Mn1,1
Unknown,Co2Mn1Sn1,1
160,Ni3S3,1
160,Ni3Se3,1
Unknown,In1Mn1Ti2,1
Unknown,Ir1Ta1Te4,1
Unknown,Gd1Sb1Te1,1
Unknown,Ga1Ge1Li1,1
Unknown,Ga1Li1Se1,1
Unknown,Al2Ca1Si2,1
Unknown,As1Cu1Mn1,1
Unknown,As2Cd2Eu1,1
109,Al1Ge1La1,1
43,Al22Mo5,1
5,As1Pd5,1
44,Au1Ca1Sn1,1
36,Au2Ga1,1
180,B1La1Pt2,1
107,Ba1Ge3Pt1,1
107,Ba1Pd1Si3,1
107,Ba1Pd1Sn3,1
107,Ba1Pt1Si3,1
107,Ba1Pt1Sn3,1
36,Bi1Pb1Pd2,1
4,Bi1Pd1,1
157,Bi2Pt1,1
146,Bi3Pd8,1
4,Ca1Ge2Pt2,1
107,Ca1Pt1Si3,1
43,Ca2Ge1Pd2,1
102,Ca3Cd2,1
5,Ge1Pd5,1
180,Ge2Nb1,1
107,Ge3Pd1Sr1,1
107,Ge3Pt1Sr1,1
92,Ge4Zr5,1
92,Hf5Si4,1
198,Hg1Pd1,1
43,In1Sr1,1
92,La5Si4,1
198,Mg1Pt1,1
46,Nb1Re1Si1,1
149,O1Ti3,1
5,Pb3Pd5,1
107,Pd1Sn3Sr1,1
36,Pd2Sb1,1
146,Pd8Sb3,1
161,Pd8Sb3,1
46,Re1Si1Ta1,1
38,Re2Sc1Si3,1
5,Re2Sc3Si3,1
38,Re8Sc5Si12,1
6,Sc9Te2,1
25,Si1Ti1,1
92,Si4Zr5,1
183,Ta21Te13,1
36,Bi1Pd1,1
213,Al2C1Mo3,1
36,Ge6La4Mg5,1
36,Ge6Y4Zn5,1
26,Mo1Pt2Si3,1
159,O1Ti6,1
185,Pd5Sb2,1
102,Al2Y3,1
