Cl4Li4O8,0,"{'Cl': '4', 'Li': '4', 'O': '8', 'total_atoms': 16, 'no_elements': 3}",249.4824907,1.980614356,15.59265567,Tetragonal,4/mmm,"(4.831303, 4.831303, 10.688371)","(90.0, 90.0, 90.0)",-4.511989693,2.6926,0.51144186,0.0009817,3.93E-06,0,FALSE,TRUE,FALSE,FALSE,mp-31367
LaAlGe,1,"{'La': 1, 'Al': 1, 'Ge': 1, 'total_atoms': 3, 'no_elements': 3}",141.1813987,5.610985863,23.53023312,Tetragonal,4mm,"(4.376309950164726, 4.376309851159758, 7.99426840979619)","(105.8806170845017, 105.88061890777995, 89.98566984177035)",-17.59122759,0,7.67717544,1.00E-07,7.08E-10,0,TRUE,FALSE,FALSE,FALSE,mp-11511
B2Hf,0,"{'B': '2', 'Hf': 1, 'total_atoms': 3, 'no_elements': 2}",29.56947201,11.23773173,9.856490669,Hexagonal,6/mmm,"(3.13267877, 3.1326793977347953, 3.47921399)","(90.0, 90.0, 120.0000040365546)",-21.03288888,0,8.05107642,1.00E-07,3.38E-09,0,TRUE,FALSE,FALSE,FALSE,mp-1994
Co3Sn2S2,1,"{'Co': '3', 'Sn': '2', 'S': '2', 'total_atoms': 7, 'no_elements': 3}",108.0559248,7.350991392,15.43656069,Trigonal,-3m,"(5.330500379924052, 5.330335837516956, 5.33039312458673)","(60.3981335810145, 60.39671947159816, 60.39615324752986)",-5.868298996,0,8.13462927,1.0012201,0.009265758,1,TRUE,FALSE,TRUE,FALSE,mp-19807
CeAlGe,1,"{'Ce': 1, 'Al': 1, 'Ge': 1, 'total_atoms': 3, 'no_elements': 3}",135.5309145,5.874579241,22.58848576,Tetragonal,4mm,"(4.27007251, 4.27007251, 8.022917692014046)","(105.43335435163166, 105.43335435163166, 90.0)",-5.362921443,0,6.57063603,2.0994075,0.015490248,1,TRUE,FALSE,TRUE,TRUE,mp-1206928
GdPtBi,1,"{'Gd': 1, 'Pt': 1, 'Bi': 1, 'total_atoms': 3, 'no_elements': 3}",76.83618074,12.13080193,25.61206025,Cubic,-43m,"(4.771924778232058, 4.771924778232058, 4.771924778232058)","(60.00000000000001, 60.00000000000001, 60.00000000000001)",-9.033336353,0,4.77345417,7.0053504,0.091172548,1,TRUE,FALSE,TRUE,FALSE,mp-620271
MoTe2,1,"{'Mo': 1, 'Te': '2', 'total_atoms': 3, 'no_elements': 2}",800.9690699,1.455940584,133.494845,Monoclinic,2/m,"(3.48040306, 6.361609015562517, 36.17599207690685)","(90.1357976527655, 89.99999838451716, 90.0)",-25.90985329,0,-2.22594615,0,0,0,FALSE,FALSE,FALSE,TRUE,mp-1120746
H8Sn2,0,"{'H': '8', 'Sn': '2', 'total_atoms': 10, 'no_elements': 2}",116.749649,3.491530628,11.6749649,Monoclinic,2/m,"(4.050112, 4.64418, 6.213041298618576)","(87.46642822993138, 90.0, 90.0)",-7.513923703,0,2.86905765,6.42E-05,5.50E-07,0,FALSE,FALSE,FALSE,TRUE,mp-978992
As2Si2Ta2,0,"{'As': '2', 'Si': '2', 'Ta': '2', 'total_atoms': 6, 'no_elements': 3}",96.66080739,9.756143161,16.11013456,Tetragonal,4/mmm,"(3.505376339999999, 3.505376339999999, 7.8664922)","(90.0, 90.0, 90.0)",-24.56366726,0,8.05618878,0,0,0,TRUE,FALSE,FALSE,FALSE,mp-5031
As2Ca4,0,"{'As': '2', 'Ca': '4', 'total_atoms': 6, 'no_elements': 2}",164.5144145,3.130575688,27.41906908,Tetragonal,4/mmm,"(4.562312700528295, 4.562312522367394, 8.537444703493724)","(105.50404596790169, 105.50405067109446, 90.01324674974525)",-10.70520079,0,3.75662894,0.0008004,4.87E-06,0,FALSE,FALSE,FALSE,FALSE,mp-10106
LaPtBi,1,"{'La': 1, 'Pt': 1, 'Bi': 1, 'total_atoms': 3, 'no_elements': 3}",83.43633348,10.80611579,27.81211116,Cubic,-43m,"(4.904823715846981, 4.904823715846981, 4.904823715846981)","(60.00000000000001, 60.00000000000001, 60.00000000000001)",-47.75816851,0,6.96052642,7.00E-07,8.39E-09,0,TRUE,FALSE,FALSE,TRUE,mp-1018136
As4Ba3Zn2,0,"{'As': '4', 'Ba': '3', 'Zn': '2', 'total_atoms': 9, 'no_elements': 3}",255.9137682,5.4666067,28.43486313,Monoclinic,2/m,"(8.80022488700051, 8.80022488700051, 7.278911343466165)","(67.5552634591994, 67.5552634591994, 29.613484688636806)",-3.84454642,0,2.89000224,0,0,0,TRUE,FALSE,FALSE,FALSE,mp-1079622
As2Nb2Si2,0,"{'As': '2', 'Nb': '2', 'Si': '2', 'total_atoms': 6, 'no_elements': 3}",97.85200785,6.649265444,16.30866797,Tetragonal,4/mmm,"(3.50907888, 3.50907888, 7.94663892)","(90.0, 90.0, 90.0)",-7.297511108,0,7.69099816,0,0,0,TRUE,FALSE,FALSE,FALSE,mp-21907
Bi2Pb2Te5,0,"{'Bi': '2', 'Pb': '2', 'Te': '5', 'total_atoms': 9, 'no_elements': 3}",325.5773497,7.499267233,36.17526108,Trigonal,-3m,"(4.51931919647473, 4.51931919647473, 18.406765)","(90.0, 90.0, 119.99998823698809)",-39.94926097,0,5.33236356,0.0002632,8.08E-07,0,FALSE,FALSE,FALSE,FALSE,mp-569044
Bi2Sr4,0,"{'Bi': '2', 'Sr': '4', 'total_atoms': 6, 'no_elements': 2}",238.0994376,5.359214544,39.6832396,Tetragonal,4/mmm,"(5.121586334924485, 5.121586614554651, 9.772851764914513)","(105.18942249682576, 105.18942375976933, 90.0032668381019)",-30.51302803,0,3.37124794,6.20E-06,2.60E-08,0,FALSE,FALSE,FALSE,FALSE,mp-29619
LaAlSi,1,"{'La': 1, 'Al': 1, 'Si': 1, 'total_atoms': 3, 'no_elements': 3}",137.558115,4.683095989,22.92635251,Tetragonal,4mm,"(7.939389391587776, 7.939389391587776, 7.939389391587776)","(148.32290473829238, 148.32290473829238, 45.408918604444885)",-15.83605826,0,7.93710946,7.00E-07,5.09E-09,0,TRUE,FALSE,FALSE,TRUE,mp-1222884
GdSi,1,"{'Gd': 1, 'Si': 1, 'total_atoms': 2, 'no_elements': 2}",178.1433922,6.91031723,22.26792403,Orthorhombic,mmm,"(3.890263960094653, 5.764255914527576, 7.944150303809)","(89.97035387080285, 89.9993166739934, 89.99964021566774)",-10.5211929,0,5.25582809,30.4881095,0.171143645,4,TRUE,FALSE,TRUE,FALSE,mp-601371
CeAlSi,1,"{'Ce': 1, 'Al': 1, 'Si': 1, 'total_atoms': 3, 'no_elements': 3}",131.7141123,4.921402194,21.95235206,Tetragonal,4mm,"(7.934032857252306, 7.934032857252306, 7.934032857252306)","(149.05027554937513, 149.04861670907337, 44.33852907432947)",-16.15001521,0,7.38424189,2.0290297,0.015404801,1,TRUE,FALSE,TRUE,TRUE,mp-1206597
PrAlGe,1,"{'Pr': 1, 'Al': 1, 'Ge': 1, 'total_atoms': 3, 'no_elements': 3}",135.8569485,5.879833437,22.64282475,Tetragonal,4mm,"(4.3009477728724015, 4.300948514511165, 7.949123573689012)","(105.69577860900078, 105.69578411252921, 90.00001067824815)",-17.4455838,0,5.80549886,0,0,0,TRUE,FALSE,FALSE,FALSE,mp-10450
Cd2Sb2Sr,0,"{'Cd': '2', 'Sb': '2', 'Sr': 1, 'total_atoms': 5, 'no_elements': 3}",154.413064,5.978746853,30.8826128,Trigonal,-3m,"(4.75283313, 4.752833957471923, 7.89311149)","(90.0, 90.0, 120.00000849014894)",-2.94182899,0,3.65520341,1.00E-07,6.48E-10,0,TRUE,FALSE,FALSE,FALSE,mp-7432
Ge4Pt4Zr4,0,"{'Ge': '4', 'Pt': '4', 'Zr': '4', 'total_atoms': 12, 'no_elements': 3}",63.79103435,9.343745292,21.26367812,Cubic,-43m,"(4.484956281536978, 4.484956281536978, 4.484956281536978)","(60.00000000000001, 60.00000000000001, 60.00000000000001)",-29.84258568,0,4.01312115,7.87E-05,1.23E-06,0,FALSE,FALSE,FALSE,TRUE,mp-961681
WP2,1,"{'W': 1, 'P': '2', 'total_atoms': 3, 'no_elements': 2}",88.21807072,9.252974643,14.70301179,Monoclinic,2/m,"(3.1905225188877897, 4.529752525611578, 6.739856880727351)","(80.60142535993404, 76.29555460907488, 69.3613371031289)",-23.4822023,0,9.08588243,0,0,0,FALSE,FALSE,FALSE,FALSE,mp-11329
HgTe,1,"{'Hg': 1, 'Te': 1, 'total_atoms': 2, 'no_elements': 2}",57.85846259,9.419059752,28.92923129,Tetragonal,-42m,"(4.580737365896237, 4.580737365896237, 4.580737365896237)","(96.65502129212115, 96.65502129212115, 140.19412896152704)",-37.39641591,0,3.95295769,0.0004472,7.73E-06,0,FALSE,FALSE,FALSE,TRUE,mp-1223902
WTe2,1,"{'W': 1, 'Te': '2', 'total_atoms': 3, 'no_elements': 2}",271.5635716,5.369225832,45.26059526,Trigonal,-3m,"(3.5609703000444917, 3.561012601481276, 24.72847543336929)","(90.00186198012318, 89.99942168087286, 119.99961692302251)",-34.14018271,1.0421,1.88692517,0,0,0,FALSE,TRUE,FALSE,TRUE,mp-1023942
V3S4,1,"{'V': '3', 'S': '4', 'total_atoms': 7, 'no_elements': 2}",109.4067809,4.266205343,15.62954013,Monoclinic,2/m,"(3.265854370704965, 5.8465128795389605, 6.544755102132501)","(114.44489979588239, 104.44801601569173, 90.00001189320714)",-7.614397454,0,6.74420759,2.0155776,0.018422785,2,TRUE,FALSE,TRUE,FALSE,mp-1081
B2Ti,0,"{'B': '2', 'Ti': 1, 'total_atoms': 3, 'no_elements': 2}",25.60262229,4.506928934,8.534207431,Hexagonal,6/mmm,"(3.02592696, 3.0259276637701857, 3.22876771)","(90.0, 90.0, 119.99999230631661)",-10.30972317,0,8.46049915,0,0,0,TRUE,FALSE,FALSE,FALSE,mp-1145
Co2MnSn,1,"{'Co': '2', 'Mn': 1, 'Sn': 1, 'total_atoms': 4, 'no_elements': 3}",52.80008124,9.167999298,13.20002031,Cubic,m-3m,"(4.210980175004505, 4.210980317385677, 4.21097992)","(60.000003121698796, 60.00000200321083, 59.99999787318065)",-6.967871003,0,7.81922918,5.1724073,0.097962109,2,TRUE,FALSE,TRUE,FALSE,mp-20840
B6Ca,0,"{'B': '6', 'Ca': 1, 'total_atoms': 7, 'no_elements': 2}",70.87785492,2.458646809,10.12540785,Cubic,m-3m,"(4.13844183, 4.13844183, 4.13844183)","(90.0, 90.0, 90.0)",-7.777311744,0,4.7383542,0,0,0,TRUE,FALSE,FALSE,FALSE,mp-865
TaP,1,"{'Ta': 1, 'total_atoms': 1, 'no_elements': 1}",63.02473264,11.16717679,15.75618316,Tetragonal,4mm,"(3.3249992, 3.3249992, 6.1665017491792025)","(105.64055951950063, 105.64055951950063, 90.0)",-29.79251958,0,7.77588008,2.00E-07,3.17E-09,0,TRUE,FALSE,FALSE,FALSE,mp-1067587
In4Te4,0,"{'In': '4', 'Te': '4', 'total_atoms': 8, 'no_elements': 2}",267.3900847,6.021832258,33.42376059,Tetragonal,4/mmm,"(7.077840846339304, 7.077840846339304, 7.077840846339304)","(104.99778738344521, 104.99778738344521, 118.84465582158423)",-24.38259647,0,5.53414702,0,0,0,FALSE,FALSE,FALSE,FALSE,mp-20320
Ta3S2,1,"{'Ta': '3', 'S': '2', 'total_atoms': 5, 'no_elements': 2}",367.2966486,10.97645127,18.36483243,Orthorhombic,mm2,"(5.650164780537899, 7.50008503, 9.11618445018222)","(90.0, 108.05260657310437, 90.0)",-9.72783894,0,5.94690126,0,0,0,TRUE,FALSE,FALSE,FALSE,mp-1826
Bi4Te3,0,"{'Bi': '4', 'Te': '3', 'total_atoms': 7, 'no_elements': 2}",251.1176559,8.058910956,35.87395084,Trigonal,-3m,"(14.733440248334974, 14.733440248334974, 14.733440758272408)","(17.45441437634486, 17.45441437634486, 17.45442032623657)",-44.51741242,0,5.31632164,0,0,0,FALSE,FALSE,FALSE,TRUE,mp-28229
B2Mo2Ni,0,"{'B': '2', 'Mo': '2', 'Ni': 1, 'total_atoms': 5, 'no_elements': 3}",51.12068642,8.841647621,10.22413728,Orthorhombic,mmm,"(4.496474020826226, 4.496474020826226, 4.496474020826226)","(138.60444561637755, 119.31116036732944, 76.1302983882801)",-8.645021748,0,9.13089184,0,0,0,TRUE,FALSE,FALSE,FALSE,mp-9999
As2Cu2Hf2Si2,0,"{'As': '2', 'Cu': '2', 'Hf': '2', 'Si': '2', 'total_atoms': 8, 'no_elements': 4}",127.8395905,8.963694972,15.97994881,Tetragonal,4/mmm,"(3.654629, 3.654629, 9.571473)","(90.0, 90.0, 90.0)",-6.555757235,0,7.58165346,0.0006753,5.28E-06,0,TRUE,FALSE,FALSE,FALSE,mp-1079332
Ba2Cd2Sb4,0,"{'Ba': '2', 'Cd': '2', 'Sb': '4', 'total_atoms': 8, 'no_elements': 3}",264.1493191,6.201599774,33.01866489,Tetragonal,4/mmm,"(4.613348, 4.613348, 12.832837123527593)","(100.35506912539697, 100.35506912539697, 90.0)",-3.477387736,0,4.11515926,0,0,0,FALSE,FALSE,FALSE,FALSE,mp-30040
SrSi2,1,"{'Sr': 1, 'Si': '2', 'total_atoms': 3, 'no_elements': 2}",136.4955249,3.498584633,22.74925415,Tetragonal,4/mmm,"(4.437862003747683, 4.4378610376244625, 7.607926672437664)","(106.95739735062912, 106.95738284947696, 90.00000823426454)",-11.29271144,0,5.03727343,0,0,0,FALSE,FALSE,FALSE,FALSE,mp-1727
B6Ba,0,"{'B': '6', 'Ba': 1, 'total_atoms': 7, 'no_elements': 2}",78.2054571,4.293170681,11.17220816,Cubic,m-3m,"(4.27640688, 4.27640688, 4.27640688)","(90.0, 90.0, 90.0)",-6.409304589,0,4.20854871,0,0,0,TRUE,FALSE,FALSE,FALSE,mp-954
TaAs,1,"{'Ta': 1, 'As': 1, 'total_atoms': 2, 'no_elements': 2}",69.58536438,12.21179975,17.39634109,Tetragonal,4mm,"(3.4436782526434224, 3.443575196061172, 6.352588597085555)","(105.71667392906875, 105.71656071801742, 90.00416362712988)",-32.27038292,0,6.82543133,0,0,0,TRUE,FALSE,FALSE,FALSE,mp-1936
Pt4Si4Zr4,0,"{'Pt': '4', 'Si': '4', 'Zr': '4', 'total_atoms': 12, 'no_elements': 3}",57.93643225,9.010956816,19.31214408,Cubic,-43m,"(4.343324207478876, 4.343324207478876, 4.343324207478876)","(60.00000000000001, 60.00000000000001, 60.00000000000001)",-28.77131351,1.0266,5.73994339,0.0058234,0.000100514,0,FALSE,FALSE,FALSE,TRUE,mp-961711
As2Cu2Si2Zr2,0,"{'As': '2', 'Cu': '2', 'Si': '2', 'Zr': '2', 'total_atoms': 8, 'no_elements': 4}",130.9289706,6.538643711,16.36612132,Tetragonal,4/mmm,"(3.67959, 3.67959, 9.670232)","(90.0, 90.0, 90.0)",-6.274692784,0,7.22569749,8.39E-05,6.41E-07,0,TRUE,FALSE,FALSE,FALSE,mp-9929
Ni3S3,1,"{'Ni': '3', 'S': '3', 'total_atoms': 6, 'no_elements': 2}",81.52968414,5.545509114,13.58828069,Trigonal,3m,"(5.585363532377339, 5.585396179613542, 5.585396497651502)","(116.60176391963667, 116.60061738020937, 116.600626378933)",-5.56943191,0,7.99209344,0,0,0,FALSE,FALSE,FALSE,FALSE,mp-1547
Co2MnSi,1,"{'Co': '2', 'Mn': 1, 'Si': 1, 'total_atoms': 4, 'no_elements': 3}",45.26732222,7.369236101,11.31683056,Tetragonal,4/mmm,"(2.847955, 2.847955, 5.581084)","(90.0, 90.0, 90.0)",-7.524110105,0,7.69732315,5.0634793,0.111857275,2,FALSE,FALSE,TRUE,TRUE,mp-1221634
