I2V1
O1V1
O2V1
P1V2
P1W1
P1Y1
S1V1
S1Y1
S2V1
S2Y1
Al1O1
Al1W1
Al1Y2
Al2W1
Al2Y1
As1Y1
Bi1O1
Bi1O2
Ce1O2
Ce1P1
Ce1S1
Co1I2
Co1O1
Co1O2
Co1S1
Co1S2
Co1V1
Co1W1
Co2P1
Co2Y1
Cr1O1
Cr1O2
Cr1P1
Cr1S1
Fe1P1
Fe1S1
Fe1V1
Fe2O1
Fe2P1
Fe2W1
Fe2Y1
Ga2Y1
Gd1O2
Gd1P1
Ge1P1
Ge1Y1
Ge2V1
Ge2W1
Ge2Y1
Hg1Y1
Hg2Y1
I2La1
I2Mn1
In1P1
In1Y1
In1Y2
Ir1O2
Ir1S2
Ir1V1
Ir1W1
Ir2P1
Ir2Y1
La1S1
La1S2
Mn1O1
Mn1O2
Mn1P1
Mn1S1
Mn1S2
Mn2P1
Mn2Y1
Mo1P1
Nb1O1
Nb1O2
Nb1S1
Nb1S2
Ni1O1
Ni1P1
Ni1S1
Ni1S2
Ni1W1
Ni1Y1
Ni2P1
Ni2V1
Ni2Y1
O1Pb2
O1Pr1
O1Pt1
O1Sn1
O1Ta1
O1Ta2
O1Ti1
O1Ti2
O2Pb1
O2Pr1
O2Pt1
O2Si1
O2Ta1
O2Ti1
P1Si1
P1Sn1
P1Ta2
P1Ti1
Pb2Y1
Pr1S1
Pr1S2
Pt1V1
Pt1Y1
Pt2V1
Pt2Y1
S1Ta1
S1Ti1
S2Ta1
S2Ti1
Se1V1
Se1Y1
Se2V1
Si1V1
Si1Y1
Si2V1
Si2W1
Si2Y1
Sn2Y1
Ta1V2
Te1V1
Te1Y1
Te2V1
Te2Y1
Ti1Y1
Al1Bi1
Al1Ce1
Al1Cr2
Al1Fe1
Al1Gd1
Al1Gd2
Al1Mn1
Al1Nb2
Al1Ni1
Al1Ni2
Al1Pr1
Al1Pt1
Al1Pt2
Al1Sn1
Al1Ta1
Al1Ta2
Al1Ti1
Al1Ti2
Al2Gd1
Al2La1
Al2Pr1
Al2Pt1
As1Ce1
As1Co2
As1Cr1
As1Cr2
As1Fe1
As1Fe2
As1Ga1
As1Gd1
As1Ge1
As1In1
As1La1
As1Mn2
As1Mo1
As1Ni1
As1Ni2
As1Se2
As1Sn1
As1Ta1
As1Ta2
As1Te1
As1Ti1
As2Co1
Bi1Ce1
Bi1Ga1
Bi1Gd1
Bi1In1
Bi1In2
Bi1La2
Bi1Mn1
Bi1Ni1
Bi1Pr1
Bi1Pt1
Bi1Se1
Bi1Te1
Bi1Ti1
Bi2Pt1
Ce1Fe2
Ce1Ga1
Ce1Ga2
Ce1Hg1
Ce1Hg2
Ce1Pt2
Ce1Se1
Ce1Te1
Ce1Te2
Ce2In1
Co1Cr1
Co1Fe1
Co1Ga1
Co1Ge1
Co1Mo1
Co1Nb1
Co1Ni1
Co1Pt1
Co1Se1
Co1Se2
Co1Si1
Co1Si2
Co1Sn1
Co1Sn2
Co1Ta1
Co1Ta2
Co1Te1
Co1Te2
Co1Ti1
Co1Ti2
Co2Gd1
Co2Ge1
Co2La1
Co2Nb1
Co2Pr1
Co2Ta1
Co2Ti1
Cr1Ge1
Cr1Nb2
Cr1Si1
Cr1Si2
Cr1Te1
Cr2Fe1
Cr2Nb1
Cr2Ni1
Cr2Ta1
Cr2Ti1
Fe1Ge1
Fe1Ge2
Fe1Ni1
Fe1Ni2
Fe1Pt1
Fe1Se1
Fe1Si2
Fe1Sn1
Fe1Sn2
Fe1Te1
Fe2Gd1
Fe2Ge1
Fe2Mo1
Fe2Nb1
Fe2Ni1
Fe2Pr1
Fe2Ta1
Fe2Ti1
Ga1Gd1
Ga1Ir1
Ga1Mn1
Ga1Ni1
Ga1Ni2
Ga1Pt1
Ga1Ti1
Ga1Ti2
Ga2Ir1
Ga2La1
Ga2Pr1
Ga2Pt1
Gd1Hg1
Gd1Hg2
Gd1In1
Gd1Mn2
Gd1Ni2
Gd1Si2
Gd2In1
Ge1Ir1
Ge1La1
Ge1Mn1
Ge1Mn2
Ge1Ni2
Ge1Pr1
Ge1Pt2
Ge1Si1
Ge2La1
Ge2Mo1
Ge2Nb1
Ge2Pr1
Ge2Ta1
Hg1In1
Hg1La1
Hg1Mn1
Hg1Ni1
Hg1Pr1
Hg1Pt1
Hg1Se1
Hg1Sr1
Hg1Te1
Hg2La1
Hg2Pt1
Hg2Sr1
In1La1
In1La2
In1Ni1
In1Ni2
In1Pr1
In1Pr2
In1Pt1
In1Se1
In1Te1
In1Ti2
In2La1
In2Pt1
In2Sr1
Ir1Mn1
Ir1Mo1
Ir1Nb1
Ir1Pb1
Ir1Si1
Ir1Sn1
Ir1Sn2
Ir1Te1
Ir1Te2
Ir1Ti1
Ir2La1
Ir2Pr1
Ir2Sr1
La1Ni1
La1Ni2
La1Pt1
La1Pt2
La1Se1
La1Se2
La1Si1
La1Si2
La1Sn1
La1Te1
La1Te2
Mn1Ni1
Mn1Pt1
Mn1Se1
Mn1Se2
Mn1Si1
Mn1Sn1
Mn1Sn2
Mn1Te1
Mn1Te2
Mn2Nb1
Mn2Sn1
Mn2Ta1
Mn2Te1
Mo1Ni1
Mo1Si2
Mo1Sn2
Nb1Ni2
Nb1Pt1
Nb1Pt2
Nb1Se2
Nb1Si1
Nb1Si2
Nb1Te2
Nb1Ti1
Ni1Pr1
Ni1Pt1
Ni1Se1
Ni1Si1
Ni1Si2
Ni1Ta1
Ni1Ta2
Ni1Te1
Ni1Ti1
Ni1Ti2
Ni2Pr1
Ni2Si1
Ni2Sn1
Ni2Ta1
Pb1Te1
Pr1Pt1
Pr1Pt2
Pr1Se1
Pr1Se2
Pr1Si1
Pr1Si2
Pr1Te1
Pr1Te2
Pt1Sn2
Pt1Te1
Pt1Ti1
Pt2Si1
Pt2Ta1
Se1Ti1
Se2Ta1
Si1Sr1
Si1Ta1
Si1Te2
Si2Ta1
Si2Ti1
Sr1Te1
Ta1Te2
Te1Ti1
Co1P1V1
Gd1I1S1
Nb1P1V1
Ni1P1S1
Ni1P1W1
Ni1P1Y1
P1Pt1Y1
Al1Ni1Y1
As1Fe1V1
As1Mn1V1
As1Ni1S1
As1Pt1Y1
Bi1Pt1Y1
Co1Mn1P1
Co1Mn1S1
Co1Nb1P1
Co1P1Pr1
Co1P1Ta1
Co1Te1V1
Cr1Fe1P1
Cr1Ni1P1
Cr1P1Ti1
Fe1Mo1P1
Fe1Ni1P1
Fe1P1Ti1
Fe1Si1Y1
Fe1Te1V1
Ga1Ir1Y1
Gd1P1Pt1
Ge1Ni1V1
Ge1Ni1Y1
Ge1Pt1Y1
Ge1Ti1Y1
I1Nb1Se1
In1Ni1Y1
In1Pt1Y1
Ir1La1P1
Ir1P1Pr1
Ir1P1Sr1
La1Ni1P1
Mn1Nb1P1
Mn1Ni1P1
Mn1P1Ta1
Mn1S1Ti1
Mo1Ni1P1
Ni1P1Ti1
Ni1Pb1Y1
Ni1Si1V1
Ni1Si1Y1
Ni1Sn1Y1
P1Sn1Sr1
Pt1Si1Y1
Pt1Sn1Y1
Si1Ti1Y1
Al1Ce1Ni1
Al1Ce1Pt1
Al1Gd1Ge1
Al1Gd1Ni1
Al1Gd1Pt1
Al1Ge1Sr1
Al1Mn1Pt1
Al1Pt1Ti1
Al1Si1Sr1
As1Ce1Ni1
As1Co1Nb1
As1Co1Ni1
As1Cr1Ni1
As1Cr1Ti1
As1Fe1Mn1
As1Fe1Ni1
As1Fe1Ti1
As1Gd1Pt1
As1Ir1La1
As1Mn1Ni1
As1Mn1Ti1
As1Nb1Si1
As1Ni1Se1
As1Pt1Sr1
As1Si1Ta1
Bi1Ce1Pt1
Bi1Fe1Pt1
Bi1Gd1Ni1
Bi1Gd1Pt1
Bi1La1Pt1
Bi1Mn1Pt1
Bi1Ni1Pt1
Bi1Ni1Se1
Bi1Pt1Se1
Bi1Pt1Te1
Ce1Co1Ge1
Ce1Co1Si1
Ce1Fe1Si1
Ce1Ga1Ni1
Ce1Ga1Pt1
Ce1Ge1Ir1
Ce1Ge1Mn1
Ce1Ge1Ti1
Ce1In1Ni1
Ce1In1Pt1
Ce1Ir1Si1
Ce1Ir1Sn1
Ce1Mn1Si1
Co1Cr1Ge1
Co1Cr1Si1
Co1Cr1Te1
Co1Fe1Ge1
Co1Fe1Si1
Co1Ga1Pr1
Co1Gd1Ge1
Co1Gd1Si1
Co1Ge1Ti1
Co1La1Si1
Co1Mn1Se1
Co1Mn1Si1
Co1Ni1Si1
Co1Ni1Sn1
Co1Si1Ti1
Co1Sn1Ti1
Cr1Fe1Te1
Cr1Ge1Ir1
Cr1Ge1Nb1
Cr1Ir1Sn1
Cr1Nb1Si1
Fe1Gd1Si1
Fe1Ge1Nb1
Fe1Ge1Ni1
Fe1Ge1Ta1
Fe1La1Si1
Fe1Mn1Te1
Fe1Nb1Si1
Fe1Pr1Si1
Fe1Si1Ta1
Fe1Sn1Ti1
Ga1Gd1Pt1
Ga1Ge1Mn1
Ga1Mn1Pt1
Ga1Ni1Ti1
Ga1Pt1Ti1
Gd1Ge1Ir1
Gd1In1Ir1
Gd1In1Ni1
Gd1In1Pt1
Gd1Mn1Si1
Ge1Ir1La1
Ge1Ir1Ti1
Ge1La1Mn1
Ge1La1Pt1
Ge1La1Ti1
Ge1Mn1Nb1
Ge1Mn1Ni1
Ge1Mn1Sr1
Ge1Mn1Ta1
Ge1Mn1Ti1
Ge1Nb1Ni1
Ge1Nb1Pt1
Ge1Ni1Pr1
Ge1Ni1Ta1
Ge1Pr1Si1
Ge1Pr1Ti1
Ge1Pt1Sr1
Hg1Pb1Sr1
Hg1Sn1Sr1
In1La1Ni1
In1Pt1Sr1
Ir1La1Si1
Ir1Mn1Sn1
Ir1Si1Ti1
La1Mn1Si1
La1Ni1Si1
La1Ni1Sn1
La1Pt1Sn1
Mn1Nb1Si1
Mn1Ni1Si1
Mn1Pt1Sn1
Mn1Se1Ti1
Mn1Si1Ta1
Mn1Si1Ti1
Mn1Sn1Sr1
Mn1Te1Ti1
Nb1Ni1Si1
Nb1Pt1Si1
Ni1Pr1Sn1
Pr1Pt1Si1
Pr1Pt1Sn1
Pt1Si1Sr1
